chunckID,start_time,subtitles
342,00:26:38.805,"['근데 삼촌\n', '\n']"
343,00:26:40.348,"['왜 자꾸 우리 할아버지한테 반말해?\n', '\n']"
344,00:26:43.351,"['죽을래?\n', '\n']"
345,00:26:44.436,"['(유 회장)\n', '이놈아!\n', '\n']"
346,00:26:45.520,"['[김신이 피식한다]\n', '아이고\n', '\n']"
347,00:26:48.023,"['(남자2)\n', '[울먹이며]\n', '나리\n', '\n']"
348,00:26:54.904,"['너무나 늦게 와 송구합니다\n', '\n']"
349,00:27:00.368,"['소인 몇 해 앓았습니다\n', '\n']"
350,00:27:05.749,"['[힘겨운 숨소리]\n', '\n']"
351,00:27:09.002,"['저는 이제\n', '\n']"
352,00:27:13.506,"['갈 모양입니다\n', '\n']"
353,00:27:16.426,"['이제부터는\n', '\n']"
354,00:27:19.095,"['이 아이가 나리를 뫼실 것입니다\n', '\n']"
355,00:27:25.185,"['손주 놈입니다\n', '\n']"
356,00:27:27.604,"['이 칼이 나리예요, 할아버지?\n', '\n']"
357,00:27:31.441,"['[긴장되는 음악]\n', '\n']"
358,00:27:37.072,"['[천둥이 콰르릉 친다]\n', '\n']"
359,00:27:39.366,"['[천둥이 콰르릉 친다]\n', '\n']"
360,00:27:40.533,"['(신)\n', '너의 백성의 염원이 널 살리는구나\n', '\n']"
361,00:27:45.580,"['[천둥이 콰르릉 친다]\n', '[의미심장한 음악]\n', '\n']"
362,00:27:50.085,"['(신)\n', '하나 너의 검에는 수천의 피가 묻었다\n', '\n']"
363,00:27:56.716,"['너에게는 적이었으나\n', '\n']"
364,00:27:58.635,"['그 또한 신의 피조물\n', '[병사들의 함성]\n', '\n']"
365,00:28:02.097,"['홀로 불멸을 살며\n', '\n']"
366,00:28:04.391,"['사랑하는 이들의 죽음을 지켜보아라\n', '\n']"
367,00:28:07.560,"['그 어떤 죽음도 잊히지 않으리라\n', '\n']"
368,00:28:12.857,"['내가 내리는 상이자\n', '그대가 받는 벌이다\n', '\n']"
369,00:28:23.076,"['오직 도깨비 신부만이\n', '그 검을 뽑을 것이다\n', '\n']"
